feature,importance,kind
CEC_060_100_TRN_N_20220826,0.000354962110833932,soil
AWC_060_100_NAT_C_20140801,0.00034971963981076005,soil
CFP_015_030_TRN_N_20221006_CF_Class6,0.00033912628908669217,soil
AWC_005_015_NAT_C_20140801,0.00032133868737166155,soil
AWC_030_060_NAT_C_20140801,0.0003115411932109248,soil
AWC_015_030_NAT_C_20140801,0.00030311870197680346,soil
CFP_000_005_TRN_N_20221006_CF_Class6,0.00021340678813574883,soil
CFG_015_030_TRN_N_20221006_Dominant_Class,2.005589162024974e-05,soil
CFG_005_015_TRN_N_20221006_Dominant_Class,1.8034873280861355e-05,soil
CFG_000_005_TRN_N_20221006_Dominant_Class,1.43634032537311e-05,soil
