ssp,window,decile,baseline_lo,baseline_hi,baseline_median,pct_change_median,pct_change_p25,pct_change_p75,n
ssp126,2070-2099,9,62.677681732177774,106.5702819824219,79.34489440917969,-7.451547228459521,-13.021665677077072,-3.345269488200629,695641
ssp126,2070-2099,10,106.5702819824219,2216.8984385,168.1286163330078,-2.572902340023394,-7.006595240777683,0.6338363612527,695641
ssp245,2070-2099,1,0.04908182844519615,5.208219909667969,3.503936290740967,-2.6179530565575586,-11.564599253216281,26.808147425524833,695641
ssp245,2070-2099,2,5.208219909667969,8.218885803222658,6.767612934112549,-8.48047317390532,-14.29616983817955,3.7455887991713293,695641
ssp245,2070-2099,3,8.218885803222658,11.115600776672363,9.634724140167236,-9.62013954796906,-15.774625410652659,-0.41355807013760937,695640
ssp245,2070-2099,4,11.115600776672363,14.980391120910648,12.947072982788086,-11.599759607749808,-18.690988154921417,-2.903775504974735,695641
ssp245,2070-2099,5,14.980391120910648,20.432025909423828,17.394859313964844,-11.133206020660026,-19.674867842624018,-2.8918233304226373,695640
ssp245,2070-2099,6,20.432025909423828,29.005068969726548,24.3255672454834,-7.000764408334786,-13.050254263459042,-1.2195427158642742,695641
ssp245,2070-2099,7,29.005068969726548,41.47614669799805,34.52810096740723,-4.8416411497538,-10.350320816099163,0.3948197648283106,695640
ssp245,2070-2099,8,41.47614669799805,62.677681732177774,50.174686431884766,-2.7009506918204287,-8.301448512693359,3.2535725462221308,695641
ssp245,2070-2099,9,62.677681732177774,106.5702819824219,79.34489440917969,-0.9344678556483338,-4.728980706098616,2.8994366071033904,695641
ssp245,2070-2099,10,106.5702819824219,2216.8984385,168.1286163330078,-0.5324811866288757,-3.9808186693350662,3.4864498232050085,695641
ssp370,2070-2099,1,0.04908182844519615,5.208219909667969,3.503936290740967,-27.255033429105552,-35.04660550213496,-9.697054753518364,695641
ssp370,2070-2099,2,5.208219909667969,8.218885803222658,6.767612934112549,-32.194207045575546,-37.53708293969554,-23.004660678720462,695641
ssp370,2070-2099,3,8.218885803222658,11.115600776672363,9.634724140167236,-31.556970900537628,-39.5358256319048,-21.946504901768463,695640
ssp370,2070-2099,4,11.115600776672363,14.980391120910648,12.947072982788086,-32.03880613831359,-42.92631835637488,-21.637513084119302,695641
ssp370,2070-2099,5,14.980391120910648,20.432025909423828,17.394859313964844,-30.60996703398942,-42.86441872823133,-19.141983039742456,695640
ssp370,2070-2099,6,20.432025909423828,29.005068969726548,24.3255672454834,-22.134401330805005,-32.00599571015072,-13.437887388179698,695641
ssp370,2070-2099,7,29.005068969726548,41.47614669799805,34.52810096740723,-17.808760399072433,-28.740175890950063,-10.221715887445297,695640
ssp370,2070-2099,8,41.47614669799805,62.677681732177774,50.174686431884766,-14.531207371207225,-26.738490158008975,-7.815618135129347,695641
ssp370,2070-2099,9,62.677681732177774,106.5702819824219,79.34489440917969,-10.485729588958261,-17.33844955927905,-4.464900559015373,695641
ssp370,2070-2099,10,106.5702819824219,2216.8984385,168.1286163330078,-2.8559758921327134,-11.666728931703377,2.726737061534473,695641
ssp585,2070-2099,1,0.04908182844519615,5.208219909667969,3.503936290740967,-27.630731809121514,-35.85508326562049,-10.69178613997631,695641
ssp585,2070-2099,2,5.208219909667969,8.218885803222658,6.767612934112549,-33.72311761342113,-39.45711353797402,-22.962831294611515,695641
ssp585,2070-2099,3,8.218885803222658,11.115600776672363,9.634724140167236,-33.203762248417256,-40.40518674624839,-22.045704370136058,695640
ssp585,2070-2099,4,11.115600776672363,14.980391120910648,12.947072982788086,-32.82290590289664,-41.581795434641414,-22.24398244496794,695641
ssp585,2070-2099,5,14.980391120910648,20.432025909423828,17.394859313964844,-31.493014151116903,-42.82363463947616,-19.436948774686883,695640
ssp585,2070-2099,6,20.432025909423828,29.005068969726548,24.3255672454834,-22.953156526608627,-32.780344183865175,-13.009382555211005,695641
ssp585,2070-2099,7,29.005068969726548,41.47614669799805,34.52810096740723,-17.647214126434655,-27.20335930225342,-9.62083197518731,695640
ssp585,2070-2099,8,41.47614669799805,62.677681732177774,50.174686431884766,-16.344470102520802,-24.762683255908247,-9.326135281016194,695641
ssp585,2070-2099,9,62.677681732177774,106.5702819824219,79.34489440917969,-14.436370369339372,-21.359095718627554,-6.269439799873655,695641
ssp585,2070-2099,10,106.5702819824219,2216.8984385,168.1286163330078,-6.051253942115346,-16.67345578270658,0.3876914281586132,695641
